transform,plan_control,rotation_group,stage,stage_semantics,query_count,rotation_config_count,rotation_seeds,seeds_complete,mean_per_query_candidate_rmse,pooled_candidate_rmse,pooled_candidate_count,mean_query_candidate_count,finite_query_count_candidate_count,mean_query_finite_count,finite_query_count_finite_count,mean_query_nonfinite_count,finite_query_count_nonfinite_count,mean_query_bias,finite_query_count_bias,mean_query_mae,finite_query_count_mae,mean_query_rmse,finite_query_count_rmse,mean_query_abs_relative_eps1e-12_p50,finite_query_count_abs_relative_eps1e-12_p50,mean_query_abs_relative_eps1e-12_p90,finite_query_count_abs_relative_eps1e-12_p90,mean_query_abs_relative_eps1e-12_p99,finite_query_count_abs_relative_eps1e-12_p99,mean_query_topk_used,finite_query_count_topk_used,mean_query_fixed_candidate_topk_agreement,finite_query_count_fixed_candidate_topk_agreement,mean_query_exact_best_estimated_rank,finite_query_count_exact_best_estimated_rank,mean_query_strict_boundary_inversion_rate,finite_query_count_strict_boundary_inversion_rate,mean_query_logical_factor_bytes_per_candidate,finite_query_count_logical_factor_bytes_per_candidate,mean_query_logical_fast_code_bytes_per_candidate,finite_query_count_logical_fast_code_bytes_per_candidate,mean_query_logical_long_code_bytes_per_candidate,finite_query_count_logical_long_code_bytes_per_candidate,mean_query_logical_long_factor_bytes_per_candidate,finite_query_count_logical_long_factor_bytes_per_candidate,mean_query_logical_total_requested_bytes_per_candidate,finite_query_count_logical_total_requested_bytes_per_candidate
residual_pca,frozen-pca,seed_average,accurate_prefix_1,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.0301095531856,0.0306344970467,2130639,2130.639,1000,2130.639,1000,0,1000,-0.0275654007637,1000,0.0276316954201,1000,0.0301095531856,1000,0.0344569083132,1000,0.0557764244563,1000,0.0762601732463,1000,100,1000,0.901791,1000,1,1000,0.00174588290617,1000,16,1000,48,1000,64,1000,8,1000,136,1000
residual_pca,frozen-pca,seed_average,accurate_prefix_2,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.0060517932657,0.00622994202451,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00562159796612,1000,0.00562999013166,1000,0.0060517932657,1000,0.00706783978782,1000,0.0112038457661,1000,0.0152832825131,1000,100,1000,0.980273,1000,1,1000,7.64761666572e-05,1000,16,1000,48,1000,160,1000,16,1000,240,1000
residual_pca,frozen-pca,seed_average,accurate_prefix_3,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.00225104136253,0.00229041483692,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00195363267868,1000,0.00199878460628,1000,0.00225104136253,1000,0.00252260535682,1000,0.0044687657809,1000,0.00633655316721,1000,100,1000,0.989893,1000,1,1000,2.08907448098e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
residual_pca,frozen-pca,seed_average,full,progressive_distance_estimate,1000,10,0|1|2|3|4|5|6|7|8|9,true,0.00110826187757,0.00113275112369,2130639,2130.639,1000,2130.639,1000,0,1000,9.5482990062e-08,1000,0.000874657121277,1000,0.00110826187757,1000,0.000920919198862,1000,0.00232279305179,1000,0.00384777487021,1000,100,1000,0.989901,1000,1,1000,2.08621264661e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
residual_pca,frozen-pca,off,vars_conservative_lower_bound_all,conservative_lower_bound_not_ordinary_distance_estimator,1000,1,off,true,0.62622882227,0.622349255078,2130639,2130.639,1000,2130.639,1000,0,1000,-0.615124326168,1000,0.615294429174,1000,0.62622882227,1000,0.789552453054,1000,0.838614130692,1000,0.872691431466,1000,100,1000,0.12617,1000,951.904,1000,0.256890465776,1000,16,1000,0,1000,0,1000,0,1000,16,1000
residual_pca,frozen-pca,off,fast_prefix_1,progressive_distance_estimate,1000,1,off,true,0.188613010156,0.187060344592,2130639,2130.639,1000,2130.639,1000,0,1000,-0.178558539414,1000,0.178791091153,1000,0.188613010156,1000,0.229976305761,1000,0.320204446822,1000,0.397545975042,1000,100,1000,0.56365,1000,1.014,1000,0.0402068380749,1000,16,1000,8,1000,0,1000,0,1000,24,1000
residual_pca,frozen-pca,off,fast_prefix_2,progressive_distance_estimate,1000,1,off,true,0.142158990339,0.140975332359,2130639,2130.639,1000,2130.639,1000,0,1000,-0.129449261177,1000,0.129891834586,1000,0.142158990339,1000,0.164957602388,1000,0.253122055171,1000,0.329067855631,1000,100,1000,0.58871,1000,1.003,1000,0.0347049467516,1000,16,1000,32,1000,0,1000,0,1000,48,1000
residual_pca,frozen-pca,off,fast_prefix_3,progressive_distance_estimate,1000,1,off,true,0.135884648322,0.134768729683,2130639,2130.639,1000,2130.639,1000,0,1000,-0.122548839776,1000,0.123123713122,1000,0.135884648322,1000,0.155796184804,1000,0.243856016937,1000,0.319496656396,1000,100,1000,0.58882,1000,1.004,1000,0.0346025355161,1000,16,1000,48,1000,0,1000,0,1000,64,1000
residual_pca,frozen-pca,off,fast_all,progressive_distance_estimate,1000,1,off,true,0.135884648322,0.134768729683,2130639,2130.639,1000,2130.639,1000,0,1000,-0.122548839776,1000,0.123123713122,1000,0.135884648322,1000,0.155796184804,1000,0.243856016937,1000,0.319496656396,1000,100,1000,0.58882,1000,1.004,1000,0.0346025355161,1000,16,1000,48,1000,0,1000,0,1000,64,1000
residual_pca,frozen-pca,off,accurate_prefix_1,progressive_distance_estimate,1000,1,off,true,0.0305610674812,0.0310710761325,2130639,2130.639,1000,2130.639,1000,0,1000,-0.027573770438,1000,0.0277110623613,1000,0.0305610674812,1000,0.0344657467293,1000,0.0567970784674,1000,0.0777911884213,1000,100,1000,0.89399,1000,1,1000,0.00204634447654,1000,16,1000,48,1000,64,1000,8,1000,136,1000
residual_pca,frozen-pca,off,accurate_prefix_2,progressive_distance_estimate,1000,1,off,true,0.00610103293264,0.00627875427046,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00562423047666,1000,0.00563716485371,1000,0.00610103293264,1000,0.00706977002664,1000,0.0113725063803,1000,0.0155959775589,1000,100,1000,0.97966,1000,1,1000,8.39958727776e-05,1000,16,1000,48,1000,160,1000,16,1000,240,1000
residual_pca,frozen-pca,off,accurate_prefix_3,progressive_distance_estimate,1000,1,off,true,0.00233665265675,0.00237398405409,2130639,2130.639,1000,2130.639,1000,0,1000,-0.00195326283275,1000,0.00203544262561,1000,0.00233665265675,1000,0.00253353882275,1000,0.00470239438426,1000,0.00679466417081,1000,100,1000,0.98873,1000,1,1000,2.64848248283e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
residual_pca,frozen-pca,off,full,progressive_distance_estimate,1000,1,off,true,0.00127159901273,0.00129348810284,2130639,2130.639,1000,2130.639,1000,0,1000,4.65328931798e-07,1000,0.00100107519026,1000,0.00127159901273,1000,0.0010523627458,1000,0.00266259582855,1000,0.00444190258829,1000,100,1000,0.98873,1000,1,1000,2.64580801115e-05,1000,16,1000,48,1000,192,1000,24,1000,280,1000
