query,candidate_count,candidate_ids_fnv1a64,exact_id_distance_fnv1a64,exact_best_id,exact_topk_used,exact_topk_ids,exact_topk_boundary_distance,exact_first_outside_distance,exact_boundary_gap,exact_reference_scope
20,1874,2506525c9f17dd24,88c7c7cccc9125a8,1152,100,"1152|21179|21220|24084|22558|38846|32858|14305|52171|28632|20036|908|16799|18852|36567|34337|7924|54420|13159|49506|31337|59180|52472|30085|46291|12931|15660|10993|12934|54275|32645|51862|43345|44024|48875|50039|16827|4752|27401|33480|19135|2796|18441|45452|12235|21726|47928|47964|21382|51680|40823|32412|58904|15858|52360|3524|22359|9300|55711|50900|39111|23184|19742|55550|23008|5755|57161|14282|45545|15457|31156|52003|57395|52697|2581|58692|41993|17833|39067|43156|19176|22416|34779|49682|59268|9607|33246|25998|294|52965|46296|59022|13719|36761|9904|16105|44192|26062|46800|21778",0.60355771358545507,0.60373752863662677,0.0001798150511717056,canonical_raw_float64_squared_L2
21,1600,d37e81a548924308,6a59a5805a98c60c,1259,100,"1259|15608|49698|29210|43419|47230|23213|24615|16533|11663|33201|10331|20713|37363|15633|31986|15505|39261|1394|21242|5009|16143|49354|44332|52757|5621|39137|57121|2445|6036|1112|7185|16822|59382|28886|54015|10193|18238|20307|18226|6831|25641|877|2020|28394|5884|22166|48106|30775|39825|20933|3282|53837|10373|25720|50175|33639|38644|44710|9180|18580|15637|16398|3929|24831|6121|8094|679|49932|47370|4536|17607|2927|56391|57455|5351|57639|17896|27773|1090|59843|38621|29631|59404|202|31522|55108|48178|14099|49460|57362|16061|50245|55875|55838|53113|25770|7548|5693|22077",1.1023184076403605,1.1026605716696003,0.00034216402923981093,canonical_raw_float64_squared_L2
22,2841,2beed7770e7d97ef,146ecfe4f98530ab,1280,100,"1280|55502|12147|32650|53581|30213|10356|52275|45702|56624|56943|36843|44110|9356|46156|28751|42636|46490|45533|20036|4063|38462|33848|37368|24204|32228|53292|20483|25406|16742|6548|13395|2796|47922|5857|8557|5680|9553|40049|50384|12003|41442|39233|32997|4637|42005|4710|30683|33039|6932|52362|58367|58647|8819|32412|26139|43933|43550|48497|40309|12925|18179|23084|23915|5419|21247|52442|47387|11933|45452|32917|2043|55334|2575|22389|10861|30918|53767|46220|44365|39952|29388|32482|48695|59049|23549|31812|26054|36296|58698|48841|45774|27848|55159|49049|22845|40377|24835|6146|16003",0.5148868407053655,0.5150245046733779,0.00013766396801240255,canonical_raw_float64_squared_L2
23,2523,c1a94077ddf89139,94bd13092c36ecf3,1319,100,"1319|39486|24679|8999|24589|29738|34949|18218|50235|26708|13260|7520|37704|1601|32659|56696|43505|16370|59491|5549|29980|6761|53195|21469|43138|13483|42649|16116|9650|40194|54558|40644|26902|14806|19494|24851|52075|982|11069|56047|2926|8342|29944|44695|21633|36175|33509|30280|27914|23805|47091|55164|52350|24837|11056|39068|2617|53354|50356|9542|54858|51003|4540|49556|34504|13435|5825|33343|3713|46019|35653|54347|59700|6376|24349|57414|2660|43363|18704|52122|47795|25969|36880|19386|58694|39783|35078|51712|48191|49950|31169|6276|788|35393|52913|19312|40345|31127|9199|43252",0.45615996107432311,0.4571929077181684,0.0010329466438452894,canonical_raw_float64_squared_L2
24,1972,095d7ed0f2f96896,c91a28b6812cc432,1365,100,"1365|46805|42904|35034|33358|27377|50250|7200|48888|5899|21250|33971|6603|42946|33133|37434|21780|52858|32998|50913|46742|31840|22554|37369|55654|42273|27918|29667|6622|59465|19212|12326|58341|54309|48292|3110|16559|39018|4635|27065|12567|58|21235|18277|36056|24847|46165|33666|16839|3341|43433|34816|55424|25997|36264|1635|54641|15849|53719|55816|52141|3433|6772|24772|18502|50239|25589|9451|57080|25478|39564|53606|31047|19246|2884|53780|32654|41752|53035|34517|59513|29098|45678|38888|57336|45279|47139|59952|32658|22460|22469|36952|1827|51571|15383|50640|31570|12791|58752|17265",0.84046716763835849,0.84084003546991815,0.00037286783155965342,canonical_raw_float64_squared_L2
25,2549,5bd1e7d8900d948b,d1663d464871d406,1509,100,"1509|10935|33701|28769|10877|42505|50190|18149|14073|59964|50167|55026|17816|23968|7262|23704|3945|59893|45221|35714|24513|3573|38736|31928|33715|11003|14251|32507|48394|41545|48996|15960|34457|31826|37703|23856|32549|55960|17557|45863|54377|24282|18542|36805|18475|11882|32997|10767|7713|22743|2253|41331|12140|20803|32516|43257|8528|31431|52053|57773|33965|29528|59062|19711|30143|41631|55022|8186|9775|36026|32525|59859|1608|6747|49655|21247|53103|43681|21368|22428|58331|3133|10242|26912|40490|34070|705|12416|44737|17536|17110|31501|35659|53052|38122|31843|50069|30390|49062|43501",0.49851788902551503,0.4987308794419445,0.00021299041642947047,canonical_raw_float64_squared_L2
26,2093,a6a31bedc4be5703,c8cd1b1c22151971,1571,100,"1571|26905|28394|354|54806|26526|15746|26737|24268|58712|57765|34995|26180|19581|28476|27725|40024|7349|52357|38923|20851|18019|46514|39248|55135|57520|44710|37826|49486|22202|44282|48603|38333|40359|20245|15386|40043|25625|40958|56301|11421|37390|44210|16310|40000|52345|33619|8191|3851|7326|26127|44679|35291|53626|19877|15014|45977|19570|29867|30783|8094|26820|1190|40102|19564|12348|53150|42424|30218|45235|12038|3827|45040|1869|22829|16849|59629|57455|212|33646|6330|13114|65|12562|41844|34238|32123|14518|31810|56080|9148|24725|24157|22217|51786|33198|45241|7828|51192|46844",0.66511520266558122,0.66554202221698699,0.0004268195514057771,canonical_raw_float64_squared_L2
27,2402,a000ad114185449c,99f7d75753d2e73a,1575,100,"1575|44336|47922|41303|4710|14997|47188|53258|39626|30875|52882|5880|31446|31948|44110|8581|48163|286|8705|52834|37656|11048|32373|26800|4959|16105|19614|8789|17877|56032|47538|7365|43557|20966|42533|44550|50278|3408|55334|59375|45881|24424|12624|12316|16865|32610|55670|55414|20139|15259|23421|28246|7820|55889|8823|25781|17152|33967|19208|14720|9852|17083|15168|43299|44446|44729|51415|47318|21603|6319|20018|39847|39186|45533|58452|47567|41374|33039|55557|49518|39913|36285|46049|46712|12848|6527|46650|8182|56051|1846|39356|50567|57822|16069|39889|46490|12147|32615|59034|41417",0.59322428870887611,0.59359899138487415,0.00037470267599803986,canonical_raw_float64_squared_L2
28,2012,9f8bbf20d823a003,3fd41b5a0434e928,1693,100,"1693|47318|50223|44324|28246|55415|2591|30354|23495|16475|10392|26056|46348|44021|40162|25436|19650|31932|25781|56786|45133|3717|17877|22359|12848|3446|20170|48563|40821|12022|31446|24468|6421|57308|58170|13918|5804|56979|52631|55636|37241|41097|20139|40892|5798|58568|26130|32610|8924|55438|21307|13272|8947|26297|7359|20565|1303|37911|47189|3973|48422|23626|13749|42776|28502|8430|26295|18346|41046|29245|17529|15861|39495|45000|47296|54213|56087|46525|9371|28319|32269|53593|55751|21382|43994|14893|54465|48767|37577|59675|17929|23112|53463|59701|56521|26830|47757|552|10347|58027",0.63747329822368537,0.6378041797673959,0.00033088154371052614,canonical_raw_float64_squared_L2
29,2143,bd54573f05f4b75d,0988a92c9bc0d200,1927,100,"1927|9672|8885|52776|9964|10371|36190|1483|31952|45365|18923|50858|24159|23505|9239|45394|8372|20433|38325|50897|27836|41000|53345|58042|19973|53860|27217|1173|51531|39494|7400|35854|52658|25410|24794|11656|31807|33496|22908|27913|56149|35816|24052|53944|19026|39262|26903|56844|17181|14370|11355|13663|6218|30274|59259|11621|4706|56266|12177|49978|31849|49841|54084|27060|31718|15772|30651|37459|44125|41319|30679|2074|35185|43242|11697|4357|26494|2358|10685|45121|20576|9637|20544|27529|13345|4258|22624|9967|14130|28226|42315|6528|49809|26068|1791|8499|14939|8620|6481|53437",0.53300436484580827,0.53313204811432269,0.00012768326851442247,canonical_raw_float64_squared_L2
