transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294423248,0.615629141123,-0.0003347178752,favors_transform,true
residual_pca,current_pca,frozen-pca,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294431449,0.615629150244,-0.000334718795,favors_transform,true
residual_pca,current_pca,frozen-pca,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294420829,0.615629139815,-0.000334718986,favors_transform,true
residual_pca,current_pca,frozen-pca,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.6152944264,0.615629144732,-0.0003347183322,favors_transform,true
residual_pca,current_pca,frozen-pca,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890429508,0.259155576281,-0.00226514677338,favors_transform,true
residual_pca,current_pca,frozen-pca,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890425832,0.259155563708,-0.00226513787568,favors_transform,true
residual_pca,current_pca,frozen-pca,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890421089,0.25915558453,-0.00226516344078,favors_transform,true
residual_pca,current_pca,frozen-pca,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890458289,0.25915559866,-0.00226514037088,favors_transform,true
residual_pca,current_pca,frozen-pca,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890461528,0.259155547924,-0.00226508639618,favors_transform,true
residual_pca,current_pca,frozen-pca,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890419913,0.259155582402,-0.00226516248888,favors_transform,true
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890443343,0.259155593329,-0.00226514998528,favors_transform,true
residual_pca,current_pca,frozen-pca,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890458181,0.259155570471,-0.00226511228998,favors_transform,true
residual_pca,current_pca,frozen-pca,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890431469,0.259155622936,-0.00226519146688,favors_transform,true
residual_pca,current_pca,frozen-pca,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.25689045165,0.259155558806,-0.00226510715588,favors_transform,true
residual_pca,current_pca,frozen-pca,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.903,967.708,-15.805,favors_transform,true
residual_pca,current_pca,frozen-pca,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.903,967.708,-15.805,favors_transform,true
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.903,967.708,-15.805,favors_transform,true
residual_pca,current_pca,frozen-pca,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.188613010156,0.188207047756,0.0004059624005,favors_pca,true
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.187060344592,0.186650581006,0.000409763585604,favors_pca,true
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,candidate_mae,lower,1000,0.178791091153,0.178378123245,0.00041296790813,favors_pca,true
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,topk_agreement,higher,1000,0.56365,0.56389,-0.00024,favors_pca,true
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,boundary_inversion_rate,lower,1000,0.0402068380749,0.0403542132377,-0.000147375162754,favors_transform,true
