evaluation_row	IDENTITY_ADAPTIVE_adjusted_unscaled_sse	IDENTITY_ADAPTIVE_nearest_sse	IDENTITY_ADAPTIVE_rescaled_sse	IDENTITY_UNIFORM_adjusted_unscaled_sse	IDENTITY_UNIFORM_nearest_sse	IDENTITY_UNIFORM_rescaled_sse	QR_ADAPTIVE_adjusted_unscaled_sse	QR_ADAPTIVE_nearest_sse	QR_ADAPTIVE_rescaled_sse	QR_UNIFORM_adjusted_unscaled_sse	QR_UNIFORM_nearest_sse	QR_UNIFORM_rescaled_sse
6970	1303.4486406843691	1303.4486406843691	1326.4288107921675	1303.4486406843691	1303.4486406843691	1326.4288107921675	890.7935604800707	876.5880439003437	869.3587914797668	890.7935604800707	876.5880439003437	869.3587914797668
6971	1053.608906937394	914.9837390609521	826.4773222226534	1053.608906937394	914.9837390609521	826.4773222226534	558.0574872731144	555.6725404743631	560.9317986321141	558.0574872731144	555.6725404743631	560.9317986321141
6972	842.1076479673438	842.1076479673438	857.7885140115648	842.1076479673438	842.1076479673438	857.7885140115648	1257.9340768716404	818.3540668425007	680.3298207257193	1257.9340768716404	818.3540668425007	680.3298207257193
6973	341.0078877335758	311.61527814613817	308.96227281494896	341.0078877335758	311.61527814613817	308.96227281494896	420.10458644324245	358.26966422988914	325.6080062604915	420.10458644324245	358.26966422988914	325.6080062604915
6974	1367.2624126205194	1366.3916575380083	1391.6508701762186	1367.2624126205194	1366.3916575380083	1391.6508701762186	752.8026005085844	739.3097697632454	735.8684849460834	752.8026005085844	739.3097697632454	735.8684849460834
6975	376.82557209613617	348.7347938659833	339.3072269220637	376.82557209613617	348.7347938659833	339.3072269220637	538.8825789113196	503.2420593714302	486.12047957624367	538.8825789113196	503.2420593714302	486.12047957624367
6976	1541.8481303975016	1540.9398531706477	1565.7676540976345	1541.8481303975016	1540.9398531706477	1565.7676540976345	868.0796259931369	868.0796259931369	873.970875019738	868.0796259931369	868.0796259931369	873.970875019738
6977	1426.7115362664604	1385.0793722301091	1387.9802601196113	1426.7115362664604	1385.0793722301091	1387.9802601196113	1707.0576200129778	959.1799232704316	821.8329589281645	1707.0576200129778	959.1799232704316	821.8329589281645
6978	1604.9669881068842	1212.585051283255	1106.952939710698	1604.9669881068842	1212.585051283255	1106.952939710698	543.6247229375134	537.2789511687752	533.0950789941871	543.6247229375134	537.2789511687752	533.0950789941871
6979	626.7141972009964	620.3861422117649	621.8503184290983	626.7141972009964	620.3861422117649	621.8503184290983	469.75744429643885	407.3919273701265	390.9596555123604	469.75744429643885	407.3919273701265	390.9596555123604
6980	786.8838199317092	652.5689335961056	613.8764699421595	786.8838199317092	652.5689335961056	613.8764699421595	443.8983328523344	422.3002096053135	414.03854557519304	443.8983328523344	422.3002096053135	414.03854557519304
