dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	13	6	7609.13350022946
sift	128	A_TO_B	0	IDENTITY	13	7	1888.8098304953623
sift	128	A_TO_B	0	IDENTITY	13	8	474.13208820377133
sift	128	A_TO_B	0	IDENTITY	13	9	118.24720319209987
sift	128	A_TO_B	0	IDENTITY	13	10	29.50022724593051
sift	128	A_TO_B	0	IDENTITY	13	11	7.41653313989678
sift	128	A_TO_B	0	IDENTITY	14	1	8937413.904257696
sift	128	A_TO_B	0	IDENTITY	14	2	1934283.2851450692
sift	128	A_TO_B	0	IDENTITY	14	3	478547.01261264784
sift	128	A_TO_B	0	IDENTITY	14	4	121191.7878131899
sift	128	A_TO_B	0	IDENTITY	14	5	30243.25582297466
sift	128	A_TO_B	0	IDENTITY	14	6	7627.667243754528
sift	128	A_TO_B	0	IDENTITY	14	7	1897.728014756738
sift	128	A_TO_B	0	IDENTITY	14	8	471.2064040760946
sift	128	A_TO_B	0	IDENTITY	14	9	118.33233217097825
sift	128	A_TO_B	0	IDENTITY	14	10	29.665959378629417
sift	128	A_TO_B	0	IDENTITY	14	11	7.402046537022885
sift	128	A_TO_B	0	IDENTITY	15	1	8949737.987572597
sift	128	A_TO_B	0	IDENTITY	15	2	1953603.0713540788
sift	128	A_TO_B	0	IDENTITY	15	3	485872.9646788227
sift	128	A_TO_B	0	IDENTITY	15	4	122785.48005132929
sift	128	A_TO_B	0	IDENTITY	15	5	30793.596369116683
sift	128	A_TO_B	0	IDENTITY	15	6	7708.636756610133
sift	128	A_TO_B	0	IDENTITY	15	7	1909.0582973584028
sift	128	A_TO_B	0	IDENTITY	15	8	476.0204133083288
sift	128	A_TO_B	0	IDENTITY	15	9	121.04503129813628
sift	128	A_TO_B	0	IDENTITY	15	10	29.756410433072936
sift	128	A_TO_B	0	IDENTITY	15	11	7.426663470040737
sift	128	A_TO_B	0	IDENTITY	16	1	9120856.029399412
sift	128	A_TO_B	0	IDENTITY	16	2	1938744.4110848357
sift	128	A_TO_B	0	IDENTITY	16	3	483158.364999613
sift	128	A_TO_B	0	IDENTITY	16	4	121080.81360614802
sift	128	A_TO_B	0	IDENTITY	16	5	30113.553155535024
sift	128	A_TO_B	0	IDENTITY	16	6	7550.257182273841
sift	128	A_TO_B	0	IDENTITY	16	7	1874.518425644415
sift	128	A_TO_B	0	IDENTITY	16	8	468.15606868777786
sift	128	A_TO_B	0	IDENTITY	16	9	116.91916035712975
sift	128	A_TO_B	0	IDENTITY	16	10	29.326936699387048
sift	128	A_TO_B	0	IDENTITY	16	11	7.39286161262185
sift	128	A_TO_B	0	IDENTITY	17	1	9186478.750044152
sift	128	A_TO_B	0	IDENTITY	17	2	1909559.0279944486
sift	128	A_TO_B	0	IDENTITY	17	3	475752.2620255294
sift	128	A_TO_B	0	IDENTITY	17	4	118849.95698246421
sift	128	A_TO_B	0	IDENTITY	17	5	30057.264527496547
sift	128	A_TO_B	0	IDENTITY	17	6	7522.576487633432
sift	128	A_TO_B	0	IDENTITY	17	7	1876.08853224646
sift	128	A_TO_B	0	IDENTITY	17	8	463.5944152957836
sift	128	A_TO_B	0	IDENTITY	17	9	117.39358521752882
sift	128	A_TO_B	0	IDENTITY	17	10	28.97978876233003
sift	128	A_TO_B	0	IDENTITY	17	11	7.302352895691028
sift	128	A_TO_B	0	IDENTITY	18	1	9427196.57355981
sift	128	A_TO_B	0	IDENTITY	18	2	1950640.1281136258
sift	128	A_TO_B	0	IDENTITY	18	3	480135.06275109615
sift	128	A_TO_B	0	IDENTITY	18	4	120970.95092952224
sift	128	A_TO_B	0	IDENTITY	18	5	30368.80211445618
sift	128	A_TO_B	0	IDENTITY	18	6	7510.13288347713
sift	128	A_TO_B	0	IDENTITY	18	7	1881.8205559513071
sift	128	A_TO_B	0	IDENTITY	18	8	476.2552905991407
sift	128	A_TO_B	0	IDENTITY	18	9	117.92403540918659
sift	128	A_TO_B	0	IDENTITY	18	10	29.10986544103254
sift	128	A_TO_B	0	IDENTITY	18	11	7.409225043090862
sift	128	A_TO_B	0	IDENTITY	19	1	9478860.954597503
sift	128	A_TO_B	0	IDENTITY	19	2	1948225.45953221
sift	128	A_TO_B	0	IDENTITY	19	3	477694.51588659623
