dataset	stage	fold	plan	arm	fit_total_sse	eval_total_sse	fit_sse_per_vector	eval_sse_per_vector	eval_gain_vs_U_pct	payload_bits_per_vector	payload_bytes_per_vector	groups_outside_6_10	axes_bits_1	axes_bits_2	axes_bits_3	axes_bits_4	axes_bits_5	axes_bits_6	axes_bits_7	axes_bits_8	axes_bits_9	shared_transform_bytes	shared_pairing_bytes	shared_bit_metadata_bytes	shared_selected_codebook_bytes	selected_lookup_entries	shared_model_total_bytes	archive_file	archive_sha256	archive_bytes	pairing_shared_compute_cpu_seconds	pairing_shared_compute_wall_seconds
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	110.4958365562985	119.45206683757911	0.013488261298376282	0.014581551127634169	0.0	512	64	0	0	0	0	128	0	0	0	0	0	3072	128	128	16384	2048	19712	models/GIST1M_HEAD128_A_TO_B_ADJ.npz	5b65d2178d2aa48d8959da2eac3e6f870e7bcae3aca793f8726d658d05322b00	1341242	9.770717392000002	9.790395706892014
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	94.31412166659557	103.10022811472828	0.011512954305004342	0.012585477064786167	13.689037917681812	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_A_TO_B_ADJ.npz	5b65d2178d2aa48d8959da2eac3e6f870e7bcae3aca793f8726d658d05322b00	1341242	9.770717392000002	9.790395706892014
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	ADJ	E	93.0014528183913	103.01493990860779	0.011352716408495032	0.012575065906812474	13.760437440836537	512	64	0	0	0	27	75	25	1	0	0	0	3072	128	128	18240	2280	21568	models/GIST1M_HEAD128_A_TO_B_ADJ.npz	5b65d2178d2aa48d8959da2eac3e6f870e7bcae3aca793f8726d658d05322b00	1341242	9.770717392000002	9.790395706892014
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	ADJ	S	92.7552506151491	102.62364766952253	0.011322662428607067	0.012527300740908512	14.088010039155252	512	64	3	0	0	30	71	24	3	0	0	0	3072	128	128	18688	2336	22016	models/GIST1M_HEAD128_A_TO_B_ADJ.npz	5b65d2178d2aa48d8959da2eac3e6f870e7bcae3aca793f8726d658d05322b00	1341242	9.770717392000002	9.790395706892014
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	U	105.51945703134828	114.01764674573508	0.012880793094647007	0.013918169768766489	0.0	512	64	0	0	0	11	106	11	0	0	0	0	3072	128	128	17088	2136	20416	models/GIST1M_HEAD128_A_TO_B_CORR_GREEDY.npz	fad15102980c0681f562b47e146f478f3742caf478060eaf832fb77bde037f24	1341242	9.780467075000004	9.801153608597815
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	V	94.63032137641355	103.0664457901587	0.011551552902394232	0.012581353245868981	9.604829838312746	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_A_TO_B_CORR_GREEDY.npz	fad15102980c0681f562b47e146f478f3742caf478060eaf832fb77bde037f24	1341242	9.780467075000004	9.801153608597815
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	E	93.48534525826675	102.53294055184088	0.011411785309847015	0.012516228094707139	10.072744458150106	512	64	0	0	0	28	74	24	2	0	0	0	3072	128	128	18432	2304	21760	models/GIST1M_HEAD128_A_TO_B_CORR_GREEDY.npz	fad15102980c0681f562b47e146f478f3742caf478060eaf832fb77bde037f24	1341242	9.780467075000004	9.801153608597815
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	S	93.30854138764614	102.15736793936455	0.011390202806109148	0.012470381828535711	10.40214312861546	512	64	2	0	0	30	72	22	4	0	0	0	3072	128	128	18816	2352	22144	models/GIST1M_HEAD128_A_TO_B_CORR_GREEDY.npz	fad15102980c0681f562b47e146f478f3742caf478060eaf832fb77bde037f24	1341242	9.780467075000004	9.801153608597815
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	EA	U	93.40322903668175	102.80668711395816	0.011401761357016815	0.012549644423090596	0.0	512	64	0	0	0	26	76	26	0	0	0	0	3072	128	128	18048	2256	21376	models/GIST1M_HEAD128_A_TO_B_EA.npz	f1b4af36b266bab94fd223110e72986e1b02f9750c536e57117002473822ea77	1341242	9.76923515	9.789262601174414
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	EA	V	93.83270114422147	102.65504487993834	0.011454187151394223	0.012531133408195599	0.14750230580986567	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_A_TO_B_EA.npz	f1b4af36b266bab94fd223110e72986e1b02f9750c536e57117002473822ea77	1341242	9.76923515	9.789262601174414
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	EA	E	92.1820140732488	102.33610796557613	0.011252687264800878	0.012492200679391618	0.45773204213885865	512	64	0	0	0	30	71	24	3	0	0	0	3072	128	128	18688	2336	22016	models/GIST1M_HEAD128_A_TO_B_EA.npz	f1b4af36b266bab94fd223110e72986e1b02f9750c536e57117002473822ea77	1341242	9.76923515	9.789262601174414
GIST1M_HEAD128	RESIDUAL_NLIST1024	A_TO_B	EA	S	92.1820140732488	102.33610796557613	0.011252687264800878	0.012492200679391618	0.45773204213885865	512	64	0	0	0	30	71	24	3	0	0	0	3072	128	128	18688	2336	22016	models/GIST1M_HEAD128_A_TO_B_EA.npz	f1b4af36b266bab94fd223110e72986e1b02f9750c536e57117002473822ea77	1341242	9.76923515	9.789262601174414
