dataset	stage	fold	plan	arm	group	dim1	dim2	local_axis	bits	group_bits	fit_sse	eval_sse
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	51	102	103	1	4	8	10307.56212997099	10123.991111550573
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	52	104	105	0	4	8	10193.460960180173	10076.376671961454
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	52	104	105	1	4	8	9573.05413569179	9833.040623161567
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	53	106	107	0	4	8	8833.840543160666	9278.677977891195
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	53	106	107	1	4	8	10580.229165970813	11002.576025710348
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	54	108	109	0	4	8	9527.976033994502	9672.939859995418
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	54	108	109	1	4	8	9770.149597265305	8470.503293925363
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	55	110	111	0	4	8	7903.75968622093	8942.180958318271
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	55	110	111	1	4	8	7703.303171420689	7823.070498203877
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	56	112	113	0	4	8	7906.000380194137	7507.782050836737
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	56	112	113	1	4	8	7588.222378304905	7897.502949991219
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	57	114	115	0	4	8	7544.385299974692	7476.012772877415
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	57	114	115	1	4	8	6969.760982331511	7230.272355004132
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	58	116	117	0	4	8	6972.495292754051	6611.009947254869
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	58	116	117	1	4	8	6187.20784878049	7466.457463332701
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	59	118	119	0	4	8	6273.925077112785	6439.680693500504
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	59	118	119	1	4	8	6640.920422665655	7018.024206089141
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	60	120	121	0	4	8	5975.360783775574	5916.802660943993
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	60	120	121	1	4	8	5911.322664454574	5523.028805474069
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	61	122	123	0	4	8	5752.9008948052915	5275.026896825896
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	61	122	123	1	4	8	4851.410457065454	5433.46845509058
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	62	124	125	0	4	8	5320.102079175842	5370.802069619795
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	62	124	125	1	4	8	5076.0500168795215	5410.006241931637
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	63	126	127	0	4	8	4205.381677759037	3975.527608496461
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	63	126	127	1	4	8	3851.982409789473	3688.705756733135
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	0	0	1	0	5	10	36092.53582372655	38251.83355641382
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	0	0	1	1	5	10	54436.73491909734	43759.96174082195
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	1	2	3	0	5	10	41399.52105376699	42668.23368850509
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	1	2	3	1	5	10	35894.1267603919	36524.23162055479
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	2	4	5	0	5	10	45050.32927729276	38574.499476132194
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	2	4	5	1	5	10	36294.752443553414	44017.50733667958
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	3	6	7	0	5	10	49030.192267646285	42191.428744592966
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	3	6	7	1	5	10	38059.35866752098	35810.13463768254
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	4	8	9	0	5	10	34388.666180030996	39312.68901684667
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	4	8	9	1	5	10	32124.708481251357	33092.10122669376
